Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass,SO2 Altitude Range Start
273010,Bulusan,Philippines,161,Satellite,2007 May 12,2007 May 12,1,6
342090,Fuego,Guatemala,278,Satellite,2007 Mar 15,2007 Mar 15,2,6
273010,Bulusan,Philippines,162,Satellite,2007 Jul 31,2007 Jul 31,1,7
268040,Gamkonora,Indonesia,154,Satellite,2007 Jul 09,2007 Jul 09,1,6
342090,Fuego,Guatemala,279,Satellite,2007 Jul 01,2007 Jul 01,2,4
233010,Karthala,Comoros,60,Satellite,2007 Jan 12,2007 Jan 12,0.6,7.4
360050,Soufriere Hills,United Kingdom,344,Satellite,2007 Jan 08,2007 Jan 08,1,9
342090,Fuego,Guatemala,280,Satellite,2007 Dec 15,2007 Dec 15,2,5
266030,Soputan,Indonesia,141,Satellite,2007 Aug 14,2007 Aug 14,5,3
211060,Etna,Italy,13,Satellite,2007 Apr 29,2007 May 07,6,6
273010,Bulusan,Philippines,160,Satellite,2007 Apr 08,2007 Apr 08,0.5,4
312260,Fourpeaked,United States,224,Satellite,2006 Sep 17,2006 Sep 17,1,6
252140,Rabaul,Papua New Guinea,97,Satellite,2006 Oct 07,2006 Oct 07,300,18
223020,Nyamuragira,DR Congo,51,Satellite,2006 Nov 27,2006 Nov 27,675,15
211060,Etna,Italy,11,Satellite,2006 Nov 16,2006 Nov 21,9.3,4
311240,Cleveland,United States,212,Satellite,2006 May 23,2006 May 23,0.13,8
360050,Soufriere Hills,United Kingdom,343,Satellite,2006 May 20,2006 May 20,200,20
300250,Bezymianny,Russia,196,Satellite,2006 May 09,2006 May 09,5,15
273010,Bulusan,Philippines,159,Satellite,2006 Mar 21,2006 Mar 21,1,7
352080,Tungurahua,Ecuador,305,Satellite,2006 Jul 15,2006 Jul 15,10,12
313010,Augustine,United States,226,Satellite,2006 Jan 29,2006 Jan 29,10,10
251020,Manam,Papua New Guinea,86,Satellite,2006 Feb 27,2006 Feb 27,50,19
256010,Tinakula,Solomon Islands,99,Satellite,2006 Feb 12,2006 Feb 12,2,3
266030,Soputan,Indonesia,140,Satellite,2006 Dec 14,2006 Dec 14,10,12
233020,"Fournaise, Piton de la",France,65,Satellite,2006 Aug 31,2006 Aug 31,1,7.6
352080,Tungurahua,Ecuador,306,Satellite,2006 Aug 16,2006 Aug 16,30,16
355100,Lascar,Chile,322,Satellite,2006 Apr 18,2006 Apr 18,2,8
260010,Barren Island,India,109,Satellite,2006 Apr 05,2006 Apr 05,0.2,5
353050,"Negra, Sierra",Ecuador,315,Satellite,2005 Oct 23,2005 Oct 23,1928,15
343020,Santa Ana,El Salvador,288,Satellite,2005 Oct 01,2005 Oct 01,12,14
355100,Lascar,Chile,321,Satellite,2005 May 04,2005 May 04,3,10
290360,Chikurachki,Russia,177,Satellite,2005 Mar 12,2005 Mar 12,5,5
360050,Soufriere Hills,United Kingdom,342,Satellite,2005 Jun 28,2005 Jul 18,8,7
251020,Manam,Papua New Guinea,85,Satellite,2005 Jan 28,2005 Jan 28,140,24
266030,Soputan,Indonesia,139,Satellite,2005 Dec 27,2005 Dec 27,5,6
342090,Fuego,Guatemala,277,Satellite,2005 Dec 27,2005 Dec 27,1,8
266030,Soputan,Indonesia,138,Satellite,2005 Apr 20,2005 Apr 20,1.5,3
261160,Talang,Indonesia,111,Satellite,2005 Apr 12,2005 Apr 12,1,8
284200,Anatahan,United States,174,Satellite,2005 Apr 05,2005 Sep 03,2324.2,3
266030,Soputan,Indonesia,136,Satellite,2004 Oct 18,2004 Oct 18,10,11.8
233020,"Fournaise, Piton de la",France,62,Satellite,2004 Oct 02,2004 Oct 02,0.5,7.6
300270,Sheveluch,Russia,206,Satellite,2004 May 10,2004 May 10,1,11
223020,Nyamuragira,DR Congo,50,Satellite,2004 May 08,2004 May 08,2587,4
360050,Soufriere Hills,United Kingdom,341,Satellite,2004 Mar 03,2004 Mar 03,5,7
300250,Bezymianny,Russia,195,Satellite,2004 Jun 19,2004 Jun 19,1,10
300250,Bezymianny,Russia,194,Satellite,2004 Jan 14,2004 Jan 14,1,6
251020,Manam,Papua New Guinea,84,Satellite,2004 Dec 20,2004 Dec 20,38,17
351080,Galeras,Colombia,299,Satellite,2004 Aug 12,2004 Aug 12,3,11
352080,Tungurahua,Ecuador,304,Satellite,2003 Mar 08,2003 Mar 08,12,15
268060,Gamalama,Indonesia,155,Satellite,2003 Jul 31,2003 Jul 31,5,11.7
300250,Bezymianny,Russia,193,Satellite,2003 Jul 26,2003 Jul 26,2,11
360050,Soufriere Hills,United Kingdom,340,Satellite,2003 Jul 13,2003 Jul 13,100,16
267010,Ruang,Indonesia,153,Satellite,2002 Sep 26,2002 Sep 26,80,22
233020,"Fournaise, Piton de la",France,61,Satellite,2002 Nov 17,2002 Nov 17,4,7.6
263100,Papandayan,Indonesia,112,Satellite,2002 Nov 13,2002 Nov 13,7,12.7
352010,Reventador,Ecuador,300,Satellite,2002 Nov 03,2002 Nov 03,84,17
252120,Ulawun,Papua New Guinea,95,Satellite,2002 Aug 27,2002 Aug 27,10,12.3
311240,Cleveland,United States,211,Satellite,2001 Feb 19,2001 Feb 19,6,10
252120,Ulawun,Papua New Guinea,94,Satellite,2001 Apr 30,2001 Apr 30,30,14
341090,Popocatepetl,Mexico,275,Satellite,2001 Apr 29,2001 Apr 29,4,9
252120,Ulawun,Papua New Guinea,93,Satellite,2000 Sep 28,2000 Sep 28,37,16
360050,Soufriere Hills,United Kingdom,338,Satellite,2000 Mar 20,2000 Mar 20,3.4,9
341090,Popocatepetl,Mexico,273,Satellite,2000 Dec 15,2000 Dec 19,49,15.5
352080,Tungurahua,Ecuador,302,Satellite,1999 Nov 16,1999 Nov 16,6,15
353060,"Azul, Cerro",Ecuador,317,Satellite,1998 Sep 15,1998 Sep 15,714,15
251020,Manam,Papua New Guinea,81,Satellite,1998 Oct 05,1998 Oct 05,17,16
341090,Popocatepetl,Mexico,272,Satellite,1998 Nov 25,1998 Nov 25,10,15.5
360050,Soufriere Hills,United Kingdom,336,Satellite,1998 Nov 12,1998 Nov 12,9,8
360050,Soufriere Hills,United Kingdom,335,Satellite,1998 Jul 03,1998 Jul 03,2,12
341090,Popocatepetl,Mexico,271,Satellite,1997 Jul 03,1997 Jul 03,7,13
251020,Manam,Papua New Guinea,80,Satellite,1997 Feb 08,1997 Feb 08,3,16
373010,Grimsvotn,Iceland,356,Satellite,1996 Oct 02,1996 Oct 02,10,10
241100,Ruapehu,New Zealand,77,Satellite,1996 Jul 20,1996 Jul 20,10,11
252140,Rabaul,Papua New Guinea,96,Satellite,1994 Sep 19,1994 Sep 19,200,20
300260,Klyuchevskoy,Russia,202,Satellite,1994 Oct 01,1994 Oct 01,150,15
264030,Rinjani,Indonesia,125,Satellite,1994 Jun 03,1994 Jun 03,10,10
223020,Nyamuragira,DR Congo,44,Satellite,1994 Jul 05,1994 Jul 05,1514,4
355100,Lascar,Chile,320,Satellite,1993 Apr 19,1993 Apr 19,450,16
313040,Spurr,United States,232,Satellite,1992 Sep 17,1992 Sep 17,250,15
313040,Spurr,United States,230,Satellite,1992 Jun 27,1992 Jun 27,250,18
353080,Marchena,Ecuador,319,Satellite,1991 Sep 26,1991 Sep 26,200,2
223020,Nyamuragira,DR Congo,43,Satellite,1991 Sep 22,1991 Sep 22,858,4
273083,Pinatubo,Philippines,165,Satellite,1991 Jun 13,1991 Jun 15,18194,19
300260,Klyuchevskoy,Russia,201,Satellite,1990 Jan 30,1990 Jan 30,10,10
351020,"Ruiz, Nevado del",Colombia,298,Satellite,1989 Sep 01,1989 Sep 01,12,15.3
342110,Pacaya,Guatemala,285,Satellite,1989 Mar 09,1989 Mar 09,1,3
265090,Banda Api,Indonesia,128,Satellite,1988 May 09,1988 May 09,250,16
268070,Makian,Indonesia,157,Satellite,1988 Jul 29,1988 Jul 29,50,16
223020,Nyamuragira,DR Congo,41,Satellite,1987 Dec 31,1987 Dec 31,28,4
257040,Ambrym,Vanuatu,101,Satellite,1986 Nov 15,1986 Nov 15,10,11.3
313010,Augustine,United States,225,Satellite,1986 Mar 27,1986 Mar 27,20,15
332010,Kilauea,United States,265,Satellite,1986 Mar 22,1986 Mar 22,5.4,5.2
312030,Pavlof,United States,218,Satellite,1986 Apr 19,1986 Apr 19,70,16
351020,"Ruiz, Nevado del",Colombia,296,Satellite,1985 Sep 12,1985 Sep 12,90,15
351020,"Ruiz, Nevado del",Colombia,297,Satellite,1985 Nov 14,1985 Nov 14,660,25
266030,Soputan,Indonesia,134,Satellite,1985 May 20,1985 May 20,12,11.8
272020,Kanlaon,Philippines,158,Satellite,1985 Mar 14,1985 Mar 14,10,12.4
300250,Bezymianny,Russia,192,Satellite,1985 Jul 01,1985 Jul 01,10,12.9
266030,Soputan,Indonesia,132,Satellite,1984 May 24,1984 May 24,166,16
332010,Kilauea,United States,235,Satellite,1983 Mar 29,1983 Mar 29,1,5.2
266010,Colo,Indonesia,129,Satellite,1983 Jul 24,1983 Jul 24,200,15
332010,Kilauea,United States,236,Satellite,1983 Jul 03,1983 Jul 03,5.5,5.2
224010,Cameroon,Cameroon,55,Satellite,1982 Oct 18,1982 Oct 18,3,9.1
266030,Soputan,Indonesia,131,Satellite,1982 Nov 10,1982 Nov 10,13,11.8
341120,"Chichón, El",Mexico,276,Satellite,1982 Mar 29,1982 Apr 04,8090,17
263140,Galunggung,Indonesia,114,Satellite,1982 Jun 24,1982 Jun 24,430,14
353020,Wolf,Ecuador,312,Satellite,1982 Aug 29,1982 Aug 29,1080,4
266030,Soputan,Indonesia,130,Satellite,1982 Aug 27,1982 Aug 27,90,15
263140,Galunggung,Indonesia,116,Satellite,1982 Aug 15,1982 Sep 18,130,4
284170,Pagan,United States,172,Satellite,1981 May 15,1981 May 15,320,20
252120,Ulawun,Papua New Guinea,91,Satellite,1980 Oct 07,1980 Oct 07,200,20
321050,St. Helens,United States,233,Satellite,1980 May 18,1980 May 25,875,14
311310,Makushin,United States,215,Satellite,1980 May 01,1980 May 01,10,12
321050,St. Helens,United States,234,Satellite,1980 Jun 13,1980 Jun 13,35,16
372070,Hekla,Iceland,351,Satellite,1980 Aug 18,1980 Aug 18,460,15
353050,"Negra, Sierra",Ecuador,314,Satellite,1979 Nov 13,1979 Nov 13,2524,14
353060,"Azul, Cerro",Ecuador,316,Satellite,1979 Feb 01,1979 Feb 01,358,2
360150,Soufrière St. Vincent,Saint Vincent and the Grenadines,349,Satellite,1979 Apr 13,1979 Apr 13,3,18
