Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
343100,San Miguel,22154,Confirmed Eruption,,1,,,2016,,6,,18,,Historical Observations,,2016,,6,,18,,13.434,-88.269
273010,Bulusan,22151,Confirmed Eruption,,2,,,2016,,6,,10,,Historical Observations,,2017,,3,,2,,12.77,124.05
342110,Pacaya,22157,Confirmed Eruption,MacKenney Crater,1,,,2016,,6,,7,1,Historical Observations,,2017,,5,,28,,14.382,-90.601
345040,Poas,22156,Confirmed Eruption,,1,,,2016,,6,,5,,Historical Observations,,2016,,8,,16,,10.2,-84.233
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,Château Fort crater,0,,,2016,,5,,26,,Historical Observations,,2016,,5,,27,,-21.244,55.708
241040,White Island,22121,Confirmed Eruption,,1,,,2016,,4,,27,,Historical Observations,,2016,,4,,27,,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,,1,,,2016,,4,,24,,Historical Observations,,2016,,7,,19,,-59.017,-26.533
344020,San Cristobal,22130,Confirmed Eruption,,2,,,2016,,4,,22,,Historical Observations,,2016,,4,,22,,12.702,-87.004
311240,Cleveland,22128,Confirmed Eruption,,0,,,2016,,4,,16,,Historical Observations,,2016,,5,,18,,52.825,-169.944
252010,Langila,22123,Confirmed Eruption,,2,,,2016,,4,,2,,Historical Observations,>,2017,,6,,21,,-5.525,148.42
261170,Kerinci,22125,Confirmed Eruption,,2,,,2016,,3,,31,,Historical Observations,,2016,,6,,9,,-1.697,101.264
390130,Zavodovski,22159,Confirmed Eruption,,1,,,2016,,3,,30,,Historical Observations,,2016,,5,,16,15,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,,2,,,2016,,3,,29,,Historical Observations,,2016,,3,,31,,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,,2,,,2016,,3,,27,,Historical Observations,,2016,,7,,30,,55.417,-161.894
273010,Bulusan,22114,Confirmed Eruption,,2,,,2016,,2,,22,,Historical Observations,,2016,,2,,22,,12.77,124.05
343100,San Miguel,22117,Confirmed Eruption,,1,,,2016,,1,,12,,Historical Observations,,2016,,1,,18,,13.434,-88.269
357070,"Chillan, Nevados de",22119,Confirmed Eruption,,2,,,2016,,1,,8,,Historical Observations,>,2017,,5,,3,,-36.863,-71.377
266030,Soputan,22105,Confirmed Eruption,,3,,,2016,,1,,2,,Historical Observations,,2016,,2,,7,,1.112,124.737
344090,Momotombo,22107,Confirmed Eruption,,2,,,2015,,12,,1,,Historical Observations,,2016,,4,,7,,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,,2,,,2015,,11,,24,,Historical Observations,,2016,,6,,18,,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,,1,,,2015,,11,,14,,Historical Observations,,2015,,11,,14,,-0.381,100.473
263310,Tengger Caldera,22103,Confirmed Eruption,Bromo cone,2,,,2015,,11,,12,,Historical Observations,,2016,,11,,12,,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,,2,,,2015,,10,,30,,Historical Observations,>,2017,,3,,17,,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,Barujari crater,2,,,2015,,10,,25,,Historical Observations,,2015,,12,,24,,-8.42,116.47
344100,Masaya,22108,Confirmed Eruption,,1,,,2015,,10,,3,,Historical Observations,>,2017,,5,,13,,11.984,-86.161
290390,Alaid,21096,Confirmed Eruption,,1,,,2015,,9,,29,,Historical Observations,,2016,,8,,11,,50.861,155.565
344040,Telica,21097,Confirmed Eruption,,2,,,2015,,9,,23,,Historical Observations,,2016,,5,,11,,12.606,-86.84
357090,Copahue,21098,Confirmed Eruption,Agrio Crater,2,,,2015,,9,,18,3,Historical Observations,,2016,,12,,30,,-37.856,-71.183
266100,Lokon-Empung,21093,Confirmed Eruption,Tompaluan,1,,,2015,,8,,30,,Historical Observations,,2015,,9,,28,1,1.358,124.792
300260,Klyuchevskoy,21095,Confirmed Eruption,,3,,,2015,,8,,28,,Historical Observations,>,2017,,8,,17,,56.056,160.642
390090,Saunders,21099,Confirmed Eruption,,0,,,2015,,8,,28,,Historical Observations,,2015,,10,,8,,-57.8,-26.483
352050,Cotopaxi,21088,Confirmed Eruption,,2,,,2015,,8,,14,,Historical Observations,,2016,,1,,24,,-0.677,-78.436
343100,San Miguel,22233,Confirmed Eruption,,1,,,2015,,8,,13,,Historical Observations,,2015,,8,,13,,13.434,-88.269
360160,Kick 'em Jenny,21090,Confirmed Eruption,,0,,,2015,,7,,23,,Historical Observations,,2015,,7,,24,,12.3,-61.64
268060,Gamalama,21087,Confirmed Eruption,,2,,,2015,,7,,16,,Historical Observations,,2015,,9,,8,,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,,1,,,2015,,7,,7,,Historical Observations,,2015,,7,,8,,-8.508,124.13
283020,Hakoneyama,21080,Confirmed Eruption,,1,,,2015,,6,,29,,Historical Observations,,2015,,7,,1,,35.233,139.021
354006,Sabancaya,21089,Confirmed Eruption,,1,,,2015,,6,,28,10,Historical Observations,,2015,,7,,9,,-15.787,-71.857
283110,Asamayama,21081,Confirmed Eruption,,1,,,2015,,6,,16,,Historical Observations,,2015,,6,,16,,36.406,138.523
345020,Rincon de la Vieja,22132,Confirmed Eruption,Crater lake,1,,,2015,,6,,16,,Historical Observations,,2016,,5,,1,,10.83,-85.324
311240,Cleveland,21082,Confirmed Eruption,,1,,,2015,,6,,14,,Historical Observations,,2015,,9,,30,,52.825,-169.944
344020,San Cristobal,21083,Confirmed Eruption,,2,,,2015,,6,,6,,Historical Observations,,2015,,6,,12,,12.702,-87.004
282050,Kuchinoerabujima,21073,Confirmed Eruption,,3,,,2015,,5,,29,,Historical Observations,,2015,,6,,19,,30.443,130.218
353020,Wolf,21075,Confirmed Eruption,,4,,,2015,,5,,25,,Historical Observations,,2015,,6,,2,,0.02,-91.35
266100,Lokon-Empung,21071,Confirmed Eruption,Tompaluan,1,,,2015,,5,,20,,Historical Observations,,2015,,5,,27,,1.358,124.792
344040,Telica,21074,Confirmed Eruption,,2,,,2015,,5,,7,,Historical Observations,,2015,,5,,28,,12.606,-86.84
273010,Bulusan,21072,Confirmed Eruption,,2,,,2015,,5,,1,,Historical Observations,,2015,,7,,17,,12.77,124.05
331021,Axial Seamount,21092,Confirmed Eruption,NE flank,0,,,2015,,4,,23,,Seismicity,,2015,,5,,24,1,45.95,-130
358020,Calbuco,21076,Confirmed Eruption,,4,,,2015,,4,,22,,Historical Observations,,2015,,5,,26,,-41.33,-72.618
352080,Tungurahua,20999,Confirmed Eruption,,3,,,2015,,4,,6,,Historical Observations,,2016,,3,,15,,-1.467,-78.442
345070,Turrialba,20998,Confirmed Eruption,,2,,,2015,,3,,8,,Historical Observations,>,2017,,8,,21,,10.025,-83.767
290360,Chikurachki,20990,Confirmed Eruption,,3,,,2015,,2,,16,,Historical Observations,,2015,,2,,18,,50.324,155.461
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,,0,,,2015,,2,,4,,Historical Observations,,2015,,10,,31,,-21.244,55.708
263340,Raung,21070,Confirmed Eruption,,3,,,2015,,2,,1,,Historical Observations,,2015,,8,,22,,-8.119,114.056
343100,San Miguel,20994,Confirmed Eruption,,1,,,2015,,1,,26,,Historical Observations,,2015,,4,,11,,13.434,-88.269
266030,Soputan,20988,Confirmed Eruption,,3,,,2015,,1,,6,,Historical Observations,,2015,,3,,7,,1.112,124.737
300260,Klyuchevskoy,20992,Confirmed Eruption,,2,,,2015,,1,,1,,Historical Observations,,2015,,5,,10,,56.056,160.642
243040,Hunga Tonga-Hunga Ha'apai,20983,Confirmed Eruption,,2,,,2014,,12,,19,,Historical Observations,,2015,,1,,23,3,-20.536,-175.382
268060,Gamalama,20989,Confirmed Eruption,,2,,,2014,,12,,18,,Historical Observations,,2014,,12,,25,,0.8,127.33
357120,Villarrica,20996,Confirmed Eruption,,1,,,2014,,12,,2,7,Historical Observations,>,2017,,4,,18,,-39.42,-71.93
384010,Fogo,20977,Confirmed Eruption,WSW base of Pico,3,,,2014,,11,,23,,Historical Observations,,2015,,2,,8,,14.95,-24.35
290260,Chirinkotan,22223,Confirmed Eruption,,2,,,2014,,11,,21,,Historical Observations,,2015,,8,,10,,48.98,153.48
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,,2,,,2014,,11,,18,,Historical Observations,,2017,,5,,29,,4.892,-75.324
312030,Pavlof,20975,Confirmed Eruption,,1,,,2014,,11,,12,,Historical Observations,,2014,,11,,15,,55.417,-161.894
345070,Turrialba,20974,Confirmed Eruption,Central Crater,2,,,2014,,10,,29,,Historical Observations,,2014,,12,,8,,10.025,-83.767
283040,Ontakesan,20964,Confirmed Eruption,Summit crater,3,,,2014,,9,,27,,Historical Observations,,2014,,10,,14,,35.893,137.48
345020,Rincon de la Vieja,20961,Confirmed Eruption,Crater lake,1,,,2014,,9,,17,,Historical Observations,,2014,,10,,24,,10.83,-85.324
282110,Asosan,20960,Confirmed Eruption,Naka-dake,2,,,2014,,8,,30,,Historical Observations,,2016,,5,,1,,32.884,131.104
373030,Bardarbunga,20955,Confirmed Eruption,Holuhraun,0,,,2014,,8,,29,,Historical Observations,,2015,,2,,27,,64.633,-17.516
273030,Mayon,20959,Confirmed Eruption,Summit crater,0,,,2014,,8,,12,,Historical Observations,,2014,,10,,19,,13.257,123.685
282050,Kuchinoerabujima,20952,Confirmed Eruption,Shin-dake crater,1,,,2014,,8,,3,,Historical Observations,,2014,,8,,3,,30.443,130.218
252140,Rabaul,20957,Confirmed Eruption,Tavurvur,3,,,2014,,7,,7,,Historical Observations,,2014,,9,,18,,-4.271,152.203
357090,Copahue,20954,Confirmed Eruption,Agrio Crater,1,,,2014,,7,,4,,Historical Observations,,2014,,12,,2,,-37.856,-71.183
251020,Manam,20956,Confirmed Eruption,,2,,,2014,,6,,29,,Historical Observations,>,2017,,5,,31,,-4.08,145.037
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,Enclos Fouqué,0,,,2014,,6,,21,,Historical Observations,,2014,,6,,21,,-21.244,55.708
267020,Karangetang,20914,Confirmed Eruption,Main crater,2,,,2014,,6,,8,,Historical Observations,,2016,,3,,15,,2.781,125.407
300120,Zhupanovsky,20908,Confirmed Eruption,,3,,,2014,,6,,6,,Historical Observations,,2016,,3,,24,,53.589,159.15
312030,Pavlof,20909,Confirmed Eruption,NE flank,3,,,2014,,5,,31,,Historical Observations,,2014,,6,,2,,55.417,-161.894
264050,Sangeang Api,20911,Confirmed Eruption,Summit crater,3,,,2014,,5,,30,,Historical Observations,,2015,,11,,5,,-8.2,119.07
223020,Nyamuragira,20942,Confirmed Eruption,,0,,,2014,,5,,30,,Historical Observations,,2016,,5,,14,,-1.408,29.2
284141,Ahyi,20936,Confirmed Eruption,,0,,,2014,,4,,24,,Hydrophonic,,2014,,5,,17,,20.42,145.03
262000,Krakatau,20932,Confirmed Eruption,Anak Krakatau,1,,,2014,,3,,31,,Historical Observations,,2014,,3,,31,,-6.102,105.423
251030,Karkar,20910,Confirmed Eruption,,1,,,2014,,3,,26,,Historical Observations,,2014,,3,,27,,-4.649,145.964
263250,Merapi,20892,Confirmed Eruption,,3,,,2014,,3,,9,,Historical Observations,,2014,,4,,20,,-7.542,110.442
263180,Slamet,20933,Confirmed Eruption,,2,,,2014,,3,,8,,Historical Observations,,2014,,9,,17,,-7.242,109.208
263280,Kelut,20934,Confirmed Eruption,,4,,,2014,,2,,13,,Historical Observations,,2014,,2,,15,,-7.93,112.308
267020,Karangetang,20913,Confirmed Eruption,,1,,,2014,,2,,9,,Historical Observations,,2014,,2,,9,,2.781,125.407
344020,San Cristobal,20941,Confirmed Eruption,,1,,,2014,,2,,4,,Historical Observations,,2014,,4,,11,,12.702,-87.004
261140,Marapi,20931,Confirmed Eruption,,1,,,2014,,2,,3,2,Historical Observations,,2014,,2,,26,,-0.381,100.473
255060,Kavachi,20920,Confirmed Eruption,,1,,,2014,,1,,29,,Historical Observations,,2014,,1,?,29,,-8.991,157.979
311360,Shishaldin,20937,Confirmed Eruption,,1,,,2014,,1,,28,,Historical Observations,,2015,,10,,16,,54.756,-163.97
282110,Asosan,20935,Confirmed Eruption,Naka-dake,1,,,2014,,1,,13,,Historical Observations,,2014,,2,,19,,32.884,131.104
343100,San Miguel,20906,Confirmed Eruption,,2,,,2013,,12,,29,,Historical Observations,,2014,,7,,28,,13.434,-88.269
311240,Cleveland,20845,Confirmed Eruption,,3,,,2013,,12,,28,,Historical Observations,,2014,,6,,5,,52.825,-169.944
284096,Nishinoshima,20916,Confirmed Eruption,Offshore to the SE (Niijima),2,,,2013,,11,,20,,Historical Observations,,2015,,11,?,17,,27.247,140.874
263250,Merapi,20842,Confirmed Eruption,,2,,,2013,,11,,18,,Historical Observations,,2013,,11,,18,,-7.542,110.442
300120,Zhupanovsky,20907,Confirmed Eruption,,3,,,2013,,10,,23,,Historical Observations,,2013,,10,,26,1,53.589,159.15
260010,Barren Island,20918,Confirmed Eruption,,2,,,2013,,10,,12,,Historical Observations,,2016,,5,,17,1,12.278,93.858
263090,Tangkubanparahu,20987,Confirmed Eruption,,1,,,2013,,10,,5,,Historical Observations,,2013,,10,,5,,-6.77,107.6
221020,Zubair Group,21068,Confirmed Eruption,Jadid Island,2,,,2013,,9,,28,,Historical Observations,,2013,,11,,20,,15.05,42.18
344040,Telica,22195,Confirmed Eruption,,1,,,2013,,9,,25,,Historical Observations,,2013,,9,,25,,12.606,-86.84
261080,Sinabung,20818,Confirmed Eruption,,2,,,2013,,9,,15,,Historical Observations,>,2017,,8,,16,,3.17,98.392
211060,Etna,20841,Confirmed Eruption,New Southeast Crater (NSEC),2,,,2013,,9,,3,,Historical Observations,>,2017,,4,,27,,37.748,14.999
354020,Ubinas,20832,Confirmed Eruption,,2,,,2013,,9,,1,,Historical Observations,,2016,,2,,27,,-16.355,-70.903
264250,Iliwerung,20912,Confirmed Eruption,Hobal (submarine vent on SE flank),0,,,2013,,8,,20,,Historical Observations,,2013,,8,,20,,-8.53,123.57
300260,Klyuchevskoy,20786,Confirmed Eruption,,1,,,2013,,8,,15,,Historical Observations,,2013,,12,,20,,56.056,160.642
357120,Villarrica,20838,Confirmed Eruption,,1,,,2013,,7,,25,,Historical Observations,,2013,,7,?,29,,-39.42,-71.93
252120,Ulawun,20835,Confirmed Eruption,,1,,,2013,,7,,8,,Historical Observations,,2013,,12,,21,,-5.05,151.33
312070,Veniaminof,20836,Confirmed Eruption,Western intracaldera cone,3,,,2013,,6,,13,,Historical Observations,,2013,,10,,12,1,56.17,-159.38
290260,Chirinkotan,20757,Confirmed Eruption,,1,,,2013,,6,,11,,Historical Observations,,2014,,6,,1,4,48.98,153.48
344020,San Cristobal,20817,Confirmed Eruption,,1,,,2013,,6,,7,,Historical Observations,,2013,,6,,7,,12.702,-87.004
282060,Kikai,20781,Confirmed Eruption,,1,,,2013,,6,,4,,Historical Observations,,2013,,6,,4,,30.789,130.308
261170,Kerinci,22216,Confirmed Eruption,,2,,,2013,,6,,2,,Historical Observations,,2013,,6,,2,,-1.697,101.264
345070,Turrialba,20831,Confirmed Eruption,West Crater,2,,,2013,,5,,21,,Historical Observations,,2013,,6,,4,,10.025,-83.767
312030,Pavlof,20807,Confirmed Eruption,Summit,3,,,2013,,5,,13,,Historical Observations,,2013,,6,,26,,55.417,-161.894
273030,Mayon,20798,Confirmed Eruption,,2,,,2013,,5,,7,,Historical Observations,,2013,,5,,7,,13.257,123.685
355100,Lascar,20789,Confirmed Eruption,,1,,,2013,,4,,2,,Historical Observations,,2013,,11,,20,,-23.37,-67.73
342110,Pacaya,20802,Confirmed Eruption,MacKenney Crater,2,,,2013,,3,,5,,Historical Observations,,2014,,4,,10,,14.382,-90.601
263090,Tangkubanparahu,20822,Confirmed Eruption,Ratu Crater,2,,,2013,,2,,21,,Historical Observations,,2013,,3,,6,,-6.77,107.6
260010,Barren Island,20754,Confirmed Eruption,,1,,,2013,,2,,16,,Historical Observations,,2013,,2,,16,,12.278,93.858
290070,Etorofu-Yakeyama [Grozny Group],20762,Confirmed Eruption,Etorofu-Yake-yama / Ivan Grozny,2,,,2013,,2,,16,,Historical Observations,,2013,,4,,4,,45.012,147.871
284305,Mariana Back-Arc Segment at 15.5°N,21102,Confirmed Eruption,Along a 10 km N-S line at 15.4°N,0,,>,2013,,2,,13,,Historical Observations,<,2015,,12,,1,,15.406,144.506
251030,Karkar,20779,Confirmed Eruption,,3,,,2013,,1,,29,,Historical Observations,,2013,,2,,26,,-4.649,145.964
252140,Rabaul,20811,Confirmed Eruption,Tavurvur,2,,,2013,,1,,19,,Historical Observations,,2014,,3,,11,,-4.271,152.203
341040,Colima,20759,Confirmed Eruption,Summit crater,2,,,2013,,1,,6,,Historical Observations,,2017,,3,,7,,19.514,-103.62
344020,San Cristobal,20816,Confirmed Eruption,,2,,,2012,,12,,26,,Historical Observations,,2012,,12,,28,,12.702,-87.004
357090,Copahue,20760,Confirmed Eruption,Agrio Crater,2,,,2012,,12,,22,,Historical Observations,,2013,,12,,10,,-37.856,-71.183
252010,Langila,20788,Confirmed Eruption,,1,,,2012,,12,,1,,Historical Observations,,2012,,12,,5,,-5.525,148.42
300240,Tolbachik,20825,Confirmed Eruption,Tolbachinsky Dol,4,,,2012,,11,,27,,Historical Observations,,2013,,8,?,22,,55.832,160.326
241080,Tongariro,20827,Confirmed Eruption,Upper Te Maari Craters,2,,,2012,,11,,21,,Historical Observations,,2012,,11,,21,,-39.157,175.632
290150,Chirpoi,20756,Confirmed Eruption,Snow,0,,,2012,,11,,11,,Historical Observations,,2016,,10,?,18,,46.532,150.871
252120,Ulawun,20834,Confirmed Eruption,,1,,,2012,,11,,6,,Historical Observations,,2012,,12,,11,,-5.05,151.33
284170,Pagan,20804,Confirmed Eruption,North Pagan,2,,,2012,,10,,30,,Historical Observations,,2012,,12,?,11,,18.13,145.8
345020,Rincon de la Vieja,22161,Confirmed Eruption,Crater lake,1,,,2012,,10,,17,,Historical Observations,,2012,,10,,17,,10.83,-85.324
264150,Paluweh,20806,Confirmed Eruption,Rokatenda,2,,,2012,,10,,8,,Historical Observations,,2013,,10,,31,7,-8.32,121.708
290390,Alaid,20750,Confirmed Eruption,Summit crater,2,,,2012,,10,,5,,Historical Observations,,2012,,12,,12,,50.861,155.565
261140,Marapi,20797,Confirmed Eruption,,1,,,2012,,9,,26,,Historical Observations,,2012,,9,,26,,-0.381,100.473
268060,Gamalama,20766,Confirmed Eruption,Summit crater,1,,,2012,,9,,15,,Historical Observations,,2012,,9,,17,,0.8,127.33
266100,Lokon-Empung,20794,Confirmed Eruption,Tompaluan,2,,,2012,,9,,15,,Historical Observations,,2013,,9,,9,,1.358,124.792
344020,San Cristobal,20815,Confirmed Eruption,,2,,,2012,,9,,8,,Historical Observations,,2012,,9,,15,,12.702,-87.004
234010,Heard,20768,Confirmed Eruption,Mawson Peak,0,,,2012,,9,,5,4,Historical Observations,>,2017,,8,,24,,-53.106,73.513
300260,Klyuchevskoy,20785,Confirmed Eruption,,1,,,2012,,9,?,1,,Historical Observations,,2013,,1,,28,3,56.056,160.642
266030,Soputan,20821,Confirmed Eruption,,3,,,2012,,8,,26,,Historical Observations,,2012,,9,,19,,1.112,124.737
290070,Etorofu-Yakeyama [Grozny Group],20761,Confirmed Eruption,Etorofu-Yake-yama / Ivan Grozny,2,,,2012,,8,,16,,Historical Observations,,2012,,8,,25,,45.012,147.871
241040,White Island,20839,Confirmed Eruption,1978/90 Crater Complex,2,,,2012,,8,,7,,Historical Observations,,2013,,10,,11,,-37.52,177.18
241080,Tongariro,20826,Confirmed Eruption,Upper Te Maari Craters,2,,,2012,,8,,6,,Historical Observations,,2012,,8,,7,,-39.157,175.632
242050,Monowai,20799,Confirmed Eruption,,0,,,2012,,8,,3,,Hydrophonic,,2012,,8,,4,,-25.887,-177.188
242005,Havre Seamount,20748,Confirmed Eruption,,1,,,2012,,7,,17,,Historical Observations,,2012,,7,,19,,-31.08,-179.033
390090,Saunders,20903,Confirmed Eruption,,0,,,2012,,6,?,30,,Historical Observations,,2012,,11,?,22,,-57.8,-26.483
267020,Karangetang,20776,Confirmed Eruption,,2,,,2012,,5,,14,,Historical Observations,,2013,,9,,5,,2.781,125.407
351080,Galeras,20764,Confirmed Eruption,Summit crater,2,,,2012,,5,,13,,Historical Observations,,2014,,1,?,29,,1.22,-77.37
264270,Sirung,20819,Confirmed Eruption,,2,,,2012,,5,,8,,Historical Observations,,2012,,5,,12,,-8.508,124.13
252120,Ulawun,20833,Confirmed Eruption,,1,,,2012,,5,,7,,Historical Observations,,2012,,5,,31,,-5.05,151.33
252080,Witori,20805,Confirmed Eruption,Pago,2,,,2012,,5,,3,,Historical Observations,,2012,,7,,11,,-5.576,150.516
344100,Masaya,22143,Confirmed Eruption,Santiago Crater,1,,,2012,,4,,30,,Historical Observations,,2012,,6,,8,,11.984,-86.161
261140,Marapi,20796,Confirmed Eruption,,1,,,2012,,3,,1,3,Historical Observations,,2012,,5,,18,,-0.381,100.473
351020,"Ruiz, Nevado del",20814,Confirmed Eruption,Arenas Crater,3,,,2012,,2,,22,,Historical Observations,,2013,,7,?,12,,4.892,-75.324
345020,Rincon de la Vieja,20813,Confirmed Eruption,Crater lake,1,,,2012,,2,,19,,Historical Observations,,2012,,4,,14,,10.83,-85.324
311110,Kanaga,20774,Confirmed Eruption,,2,,,2012,,2,,18,,Historical Observations,,2012,,2,,18,,51.923,-177.168
284120,Ioto,20772,Confirmed Eruption,Asodai,1,,,2012,,2,,10,,Historical Observations,,2012,,5,,2,,24.751,141.289
251030,Karkar,20778,Confirmed Eruption,,3,,,2012,,2,,1,,Historical Observations,,2012,,2,,1,,-4.649,145.964
345070,Turrialba,20830,Confirmed Eruption,West Crater (SE flank),2,,,2012,,1,,12,,Historical Observations,,2012,,1,,18,,10.025,-83.767
264230,Lewotolo,20791,Confirmed Eruption,Summit,1,,,2012,,1,,2,,Historical Observations,,2012,,1,,14,,-8.272,123.505
221020,Zubair Group,20840,Confirmed Eruption,Sholan Island,2,,,2011,,12,,18,,Historical Observations,,2012,,1,,12,,15.05,42.18
261170,Kerinci,22217,Confirmed Eruption,,1,,,2011,,12,,15,,Historical Observations,,2011,,12,,15,,-1.697,101.264
268060,Gamalama,20765,Confirmed Eruption,,2,,,2011,,12,,5,,Historical Observations,,2011,,12,,23,,0.8,127.33
223020,Nyamuragira,20801,Confirmed Eruption,NW flank,2,,,2011,,11,,6,,Historical Observations,,2012,,3,?,16,,-1.408,29.2
358057,"Hudson, Cerro",20770,Confirmed Eruption,S and SE edge of the caldera,2,,,2011,,10,,26,,Historical Observations,,2011,,11,,1,,-45.9,-72.97
383020,Hierro,20769,Confirmed Eruption,Submarine S flank,2,,,2011,,10,,10,,Historical Observations,,2012,,3,,5,,27.73,-18.03
257020,Gaua,20938,Confirmed Eruption,Mt. Garat,1,,,2011,,9,,17,,Historical Observations,,2011,,10,,10,,-14.27,167.5
345020,Rincon de la Vieja,20812,Confirmed Eruption,Crater lake,1,,,2011,,8,,22,,Historical Observations,,2011,,9,,27,,10.83,-85.324
344020,San Cristobal,10898,Confirmed Eruption,,1,,,2011,,8,?,21,,Historical Observations,,2011,,10,,23,,12.702,-87.004
261140,Marapi,20795,Confirmed Eruption,,2,,,2011,,8,,3,,Historical Observations,,2011,,10,,12,,-0.381,100.473
262000,Krakatau,20787,Confirmed Eruption,Anak Krakatau,2,,,2011,,7,,31,,Historical Observations,,2012,,9,,9,1,-6.102,105.423
311240,Cleveland,20758,Confirmed Eruption,Summit crater,2,,,2011,,7,,20,,Historical Observations,,2013,,5,,13,,52.825,-169.944
266030,Soputan,20820,Confirmed Eruption,,3,,,2011,,7,,3,,Historical Observations,,2011,,8,,15,,1.112,124.737
266100,Lokon-Empung,20793,Confirmed Eruption,Tompaluan,2,,,2011,,6,,26,,Historical Observations,,2012,,5,,1,,1.358,124.792
222120,"Lengai, Ol Doinyo",20790,Confirmed Eruption,,0,,<,2011,,6,,22,,Historical Observations,,2014,,7,>,5,,-2.764,35.914
221101,Nabro,20800,Confirmed Eruption,,4,,,2011,,6,,13,,Historical Observations,,2012,,6,?,3,,13.37,41.7
357150,Puyehue-Cordon Caulle,20809,Confirmed Eruption,"Cordón Caulle, N of the 1960 eruption fissure",5,,,2011,,6,,4,,Historical Observations,,2012,,4,?,21,,-40.59,-72.117
257030,Aoba,20752,Confirmed Eruption,Lake Manaro,1,,,2011,,6,,4,,Historical Observations,,2011,,7,,10,,-15.4,167.83
373010,Grimsvotn,20767,Confirmed Eruption,SW part of the caldera,4,,,2011,,5,,21,,Historical Observations,,2011,,5,,28,,64.416,-17.316
